incident.number,incident.date,public,city,state,division.name,rural.city,rec.location,motive,victim.age,victim.race,victim.sex,RSO,offender.age,offender.race,offender.sex,Victim.in.relation,multiple.victims,multiple.offenders,type,target.harm,exclude,primary.incident,relationship.group,same.race
13-66,2013-06-01,Yes,Sacramento,CA,West,Rural,,Sexual,10,White,Male,,36,White,Male,Stranger,1,1,SingleVO,Yes,0,Yes,Stranger,1
13-68,2013-02-01,No,San Fransisco,CA,West,City,,Custodial,6,Black,Male,No,29,Black,Male,Child,1,1,SingleVO,No,0,Yes,Parent,1
13-70,2013-07-01,Yes,San Fransisco,CA,West,City,,Sexual,10,White,Female,No,24,White,Male,Stranger,1,2,MultOff,Yes,0,Yes,Stranger,1
13-70,2013-07-01,Yes,San Fransisco,CA,West,City,,Sexual,10,White,Female,,30,Unknown,Male,Unknown,1,2,MultOff,Yes,0,No,,
13-72,2012-10-01,Yes,San Juan,PR,Southeast,City,,Ransom,6,Hispanic,Male,No,,Hispanic,Male,Stranger,1,2,MultOff,No,0,Yes,Stranger,1
13-72,2012-10-01,Yes,San Juan,PR,Southeast,City,,Ransom,6,Hispanic,Male,,,Hispanic,Male,Unknown,1,2,MultOff,No,0,No,,1
13-73,2012-10-01,Yes,St. Louis,MO,Central,Rural,,Sexual,5,White,Female,Yes,45,White,Male,Stranger,1,1,SingleVO,Yes,0,Yes,Stranger,1
13-74,2013-04-01,Yes,Tampa,FL,Southeast,City,>10 miles,Custodial,2,White,Male,No,34,White,Female,Child,2,2,MultOV,No,0,Yes,Parent,1
13-74,2013-04-01,Yes,Tampa,FL,Southeast,City,>10 miles,Custodial,4,White,Male,No,34,White,Female,Child,2,2,MultOV,No,0,No,Parent,1
13-76,2013-05-01,Yes,Tampa,FL,Southeast,City,,Sexual,15,White,Female,,22,White,Male,Unknown,2,1,MultVic,Yes,0,Yes,,1
13-76,2013-05-01,Yes,Tampa,FL,Southeast,City,,Sexual,14,White,Female,,22,White,Male,Unknown,2,1,MultVic,Yes,0,No,,1
13-74,2013-04-01,Yes,Tampa,FL,Southeast,City,>10 miles,Custodial,2,White,Male,,34,White,Male,Child,2,2,MultOV,No,0,No,Parent,1
13-74,2013-04-01,Yes,Tampa,FL,Southeast,City,>10 miles,Custodial,4,White,Male,,34,White,Male,Child,2,2,MultOV,No,0,No,Parent,1
14-1,2014-08-01,Yes,Alabama,AL,Southeast,Rural,,Sexual,6,White,Female,,39,White,Male,,2,2,MultOV,Yes,0,Yes,,1
14-1,2014-08-01,Yes,Alabama,AL,Southeast,Rural,,Sexual,12,White,Female,,39,White,Male,,2,2,MultOV,Yes,0,No,,1
14-2,2014-06-01,Yes,Anchorage,AK,West,,,Unknown,5,White,Female,,,,,,1,1,SingleVO,No,0,Yes,,
14-3,2014-09-01,Yes,Atlanta,GA,Southeast,Suburban,>10 miles,Custodial,1,Black,Male,No,36,Black,Male,Child,2,1,MultVic,No,0,Yes,Parent,1
14-3,2014-09-01,Yes,Atlanta,GA,Southeast,Suburban,>10 miles,Custodial,3,Black,Female,No,36,Black,Male,Child,2,1,MultVic,No,0,No,Parent,1
14-5,2014-09-01,No,Baltimore,MD,Northeast,,,Custodial,2,Black,Female,No,,Black,Female,Child,2,1,MultVic,No,0,Yes,Parent,1
14-5,2014-09-01,No,Baltimore,MD,Northeast,,,Custodial,4,Black,Female,No,,Black,Female,Child,2,1,MultVic,No,0,No,Parent,1
14-6,2014-09-01,Yes,Baltimore,MD,Northeast,,,,15,Black,Female,,42,White,Male,,1,1,SingleVO,No,0,Yes,,0
14-7,2013-10-01,Yes,Boston,MA,Northeast,,,,14,White,Female,,34,White,Male,,1,1,SingleVO,No,0,Yes,,1
14-8,2014-03-01,No,Boston,MA,Northeast,City,,Custodial,3,Unknown,Female,No,,,Male,Child,1,1,SingleVO,No,0,Yes,Parent,
14-82,,No,Cleveland,OH,Central,Rural,1-10 miles,Intent to Keep,15,Other,Female,,31,Other,Male,Boyfriend/Girlfriend,1,1,SingleVO,No,0,Yes,Known,1
14-10,2014-09-01,Yes,Cleveland,OH,Central,City,,Unknown,13,White,Female,,22,White,Male,Friend,1,1,SingleVO,No,0,Yes,Known,1
14-11,2014-03-01,Yes,Cinncinatti,OH,Central,,,Custodial,4,Unknown,Female,,38,,Female,Child,1,1,SingleVO,No,0,Yes,Parent,
14-12,2014-09-01,Yes,Columbia,SC,Southeast,,,Custodial,2,White,Female,,33,White,Male,Child,5,1,MultVic,Yes,0,Yes,Parent,1
14-12,2014-09-01,Yes,Columbia,SC,Southeast,,,Custodial,3,White,Male,,33,White,Male,Child,5,1,MultVic,Yes,0,No,Parent,1
14-12,2014-09-01,Yes,Columbia,SC,Southeast,,,Custodial,5,White,Male,,33,White,Male,Child,5,1,MultVic,Yes,0,No,Parent,1
14-12,2014-09-01,Yes,Columbia,SC,Southeast,,,Custodial,6,White,Male,,33,White,Male,Child,5,1,MultVic,Yes,0,No,Parent,1
14-12,2014-09-01,Yes,Columbia,SC,Southeast,,,Custodial,7,White,Female,,33,White,Male,Child,5,1,MultVic,Yes,0,No,Parent,1
14-13,2013-10-01,Yes,Detroit,MI,Central,Rural,1-10 miles,Unknown,2,White,Female,,,,,,1,1,SingleVO,No,0,Yes,,
14-14,2014-05-01,Yes,Detroit,MI,Central,Rural,1-10 miles,Possible false allegation,2,Black,Male,,,,,,1,1,SingleVO,No,0,Yes,,
14-15,2014-05-01,No,Detroit,MI,Central,Suburban,<1 mile,,0.5,White,Female,,52,White,Male,Stranger,1,1,SingleVO,No,0,Yes,Stranger,1
