FIPS,relover65,nonrelatives,college,samehouse,employed,income,rent
45087,0.8,4.3,24.4,82.5,65.9,50680,952
45089,0.8,,,,,,
45091,0.7,8.5,20.3,79.5,65.7,49914,940
46009,0.9,4.3,17.9,84.7,57.1,33030,641
46013,0.9,4.5,18.1,92.3,55.9,31867,590
46023,0.7,4.9,16.1,90.8,56.2,30979,606
46029,1,4.6,20.1,88.8,50.4,32331,598
46033,0.9,3.4,19.1,93.6,54.3,30357,693
46057,0.9,2.6,19.2,87.9,57.2,35225,587
46065,1,5.5,18.5,88,53.1,26063,548
46071,0.8,3.5,24.8,83.3,66.6,52177,955
46081,0.8,2.1,19.1,87.3,51.4,44651,560
46083,0.9,4.7,20.5,85.4,61.6,41147,655
46099,0.9,4.4,20.5,88.9,51.9,38985,790
46103,0.7,4.3,20.4,84.2,64.3,48076,740
46105,0.7,4.6,17.1,83.4,58.3,35165,656
46125,0.8,4,18.2,88.4,56.3,35734,631
47001,0.9,7.4,22.7,82.6,60.8,40655,822
47003,0.9,5.8,17.4,81.9,65.8,35741,754
47009,0.8,4.4,22.4,84.4,61,41343,681
47011,0.8,3.9,22.4,87.2,56.8,41845,611
47013,0.8,3.7,19.5,88.2,58.1,36887,673
47017,0.8,,,,,,
47019,0.7,5.1,22.4,85.1,67.5,52911,803
47021,1.1,3.4,17.4,93.1,55.1,28171,523
47023,0.9,4.1,17.6,89.3,46.8,27648,562
47025,0.7,6.5,19,82.7,53.9,42254,680
47027,0.9,3.5,17.2,89.9,54.3,32687,666
47029,0.7,7.3,19.3,81,57.7,40244,690
47031,0.6,7.2,22.6,77.8,67.5,47147,833
47033,0.9,,,,,,
47035,0.8,4.2,20,84.4,61.6,42243,679
47041,0.8,4,23.9,86.3,60.2,40280,710
47043,0.9,3.7,18.6,87.9,54.8,33186,601
